"Department" "Pen" "Group" "Time" "Weight_change" "ID"
"23" "1" "2" 34 734 "84"
"23" "1" "2" 3 44 "164"
"23" "1" "2" 10 87 "164"
"23" "1" "2" 20 258 "164"
"23" "1" "2" 27 583 "164"
"23" "1" "2" 34 1009 "164"
"23" "1" "2" 3 51 "204"
"23" "1" "2" 10 118 "204"
"23" "1" "2" 20 401 "204"
"23" "1" "2" 27 762 "204"
"23" "1" "2" 34 1230 "204"
"23" "1" "2" 3 46 "244"
"23" "1" "2" 10 65 "244"
"23" "1" "2" 20 177 "244"
"23" "1" "2" 27 404 "244"
"23" "1" "2" 34 754 "244"
"23" "1" "2" 3 50 "284"
"23" "1" "2" 10 76 "284"
"23" "1" "2" 20 227 "284"
"23" "1" "2" 27 432 "284"
"23" "1" "2" 34 794 "284"
"23" "2" "2" 3 42 "12"
"23" "2" "2" 10 93 "12"
"23" "2" "2" 20 245 "12"
"23" "2" "2" 27 516 "12"
"23" "2" "2" 34 907 "12"
"23" "2" "2" 3 44 "132"
"23" "2" "2" 10 117 "132"
"23" "2" "2" 20 361 "132"
"23" "2" "2" 27 684 "132"
"23" "2" "2" 34 1180 "132"
"23" "2" "2" 3 42 "172"
"23" "2" "2" 10 91 "172"
"23" "2" "2" 20 328 "172"
"23" "2" "2" 27 571 "172"
"23" "2" "2" 34 891 "172"
"23" "2" "2" 3 47 "212"
"23" "2" "2" 10 133 "212"
"23" "2" "2" 20 424 "212"
"23" "2" "2" 27 829 "212"
"23" "2" "2" 34 1316 "212"
"23" "2" "2" 3 45 "252"
"23" "2" "2" 10 85 "252"
"23" "2" "2" 20 262 "252"
"23" "2" "2" 27 558 "252"
"23" "2" "2" 34 1004 "252"
"23" "3" "2" 3 47 "20"
"23" "3" "2" 10 121 "20"
"23" "3" "2" 20 377 "20"
"23" "3" "2" 27 753 "20"
"23" "3" "2" 34 1260 "20"
"23" "3" "2" 3 45 "60"
"23" "3" "2" 10 103 "60"
"23" "3" "2" 20 379 "60"
"23" "3" "2" 27 737 "60"
"23" "3" "2" 34 1247 "60"
"23" "3" "2" 3 40 "100"
"23" "3" "2" 10 70 "100"
"23" "3" "2" 20 266 "100"
"23" "3" "2" 27 580 "100"
"23" "3" "2" 34 1025 "100"
"23" "3" "2" 3 54 "140"
"23" "3" "2" 10 135 "140"
"23" "3" "2" 20 433 "140"
"23" "3" "2" 27 811 "140"
"23" "3" "2" 34 1312 "140"
"23" "4" "2" 3 49 "28"
"23" "4" "2" 10 144 "28"
"23" "4" "2" 20 448 "28"
"23" "4" "2" 27 832 "28"
"23" "4" "2" 34 1323 "28"
"23" "4" "2" 3 46 "68"
"23" "4" "2" 10 87 "68"
"23" "4" "2" 20 272 "68"
"23" "4" "2" 27 546 "68"
"23" "4" "2" 34 977 "68"
"23" "4" "2" 3 49 "108"
"23" "4" "2" 10 130 "108"
"23" "4" "2" 20 421 "108"
"23" "4" "2" 27 780 "108"
"23" "4" "2" 34 1182 "108"
"23" "4" "2" 3 50 "148"
"23" "4" "2" 10 99 "148"
"23" "4" "2" 20 304 "148"
"23" "4" "2" 27 592 "148"
"23" "4" "2" 34 1001 "148"
"23" "4" "2" 3 48 "188"
"23" "4" "2" 10 130 "188"
"23" "4" "2" 20 370 "188"
"23" "4" "2" 27 694 "188"
"23" "4" "2" 34 1116 "188"
"23" "5" "2" 3 51 "36"
"23" "5" "2" 10 109 "36"
"23" "5" "2" 20 313 "36"
"23" "5" "2" 27 611 "36"
"23" "5" "2" 34 1020 "36"
"23" "5" "2" 3 45 "76"
"23" "5" "2" 10 111 "76"
"23" "5" "2" 20 331 "76"
"23" "5" "2" 27 622 "76"
"23" "5" "2" 34 1033 "76"
"23" "5" "2" 3 48 "116"
"23" "5" "2" 10 110 "116"
"23" "5" "2" 20 370 "116"
"23" "5" "2" 27 709 "116"
"23" "5" "2" 34 1179 "116"
"23" "5" "2" 3 49 "156"
"23" "5" "2" 10 116 "156"
"23" "5" "2" 20 309 "156"
"23" "5" "2" 27 605 "156"
"23" "5" "2" 34 1100 "156"
"23" "5" "2" 3 47 "196"
"23" "5" "2" 10 121 "196"
"23" "5" "2" 20 377 "196"
"23" "5" "2" 27 693 "196"
"23" "5" "2" 34 1106 "196"
"23" "5" "2" 3 46 "236"
"23" "5" "2" 10 100 "236"
"23" "5" "2" 20 336 "236"
"23" "5" "2" 27 659 "236"
"23" "5" "2" 34 1111 "236"
"23" "1" "1" 3 55 "3"
"23" "1" "1" 10 163 "3"
"23" "1" "1" 20 509 "3"
"23" "1" "1" 27 819 "3"
"23" "1" "1" 34 1352 "3"
"23" "1" "1" 3 51 "43"
"23" "1" "1" 10 123 "43"
"23" "1" "1" 20 488 "43"
"23" "1" "1" 27 968 "43"
"23" "1" "1" 34 1532 "43"
"23" "1" "1" 3 47 "83"
"23" "1" "1" 10 134 "83"
"23" "1" "1" 20 452 "83"
"23" "1" "1" 27 912 "83"
"23" "1" "1" 34 1511 "83"
"23" "1" "1" 3 62 "123"
"23" "1" "1" 10 153 "123"
"23" "1" "1" 20 470 "123"
"23" "1" "1" 27 865 "123"
"23" "1" "1" 34 1369 "123"
"23" "1" "1" 3 47 "163"
"23" "1" "1" 10 141 "163"
"23" "1" "1" 20 524 "163"
"23" "1" "1" 27 995 "163"
"23" "1" "1" 34 1655 "163"
"23" "2" "1" 3 52 "11"
"23" "2" "1" 10 191 "11"
"23" "2" "1" 20 668 "11"
"23" "2" "1" 27 1205 "11"
"23" "2" "1" 34 1732 "11"
"23" "2" "1" 3 49 "51"
"23" "2" "1" 10 148 "51"
"23" "2" "1" 20 591 "51"
"23" "2" "1" 27 1083 "51"
"23" "2" "1" 34 1687 "51"
"23" "2" "1" 3 54 "91"
"23" "2" "1" 10 159 "91"
"23" "2" "1" 20 627 "91"
"23" "2" "1" 27 1093 "91"
"23" "2" "1" 34 1577 "91"
"23" "2" "1" 3 56 "131"
"23" "2" "1" 10 193 "131"
"23" "2" "1" 20 655 "131"
"23" "2" "1" 27 1185 "131"
"23" "2" "1" 34 1790 "131"
"23" "3" "1" 3 59 "19"
"23" "3" "1" 10 222 "19"
"23" "3" "1" 20 710 "19"
"23" "3" "1" 27 1250 "19"
"23" "3" "1" 34 1891 "19"
"23" "3" "1" 3 46 "59"
"23" "3" "1" 10 122 "59"
"23" "3" "1" 20 400 "59"
"23" "3" "1" 27 764 "59"
"23" "3" "1" 34 1303 "59"
"23" "3" "1" 3 57 "99"
"23" "3" "1" 10 163 "99"
"23" "3" "1" 20 639 "99"
"23" "3" "1" 27 1220 "99"
"23" "3" "1" 34 1933 "99"
"23" "3" "1" 3 60 "139"
"23" "3" "1" 10 196 "139"
"23" "3" "1" 20 702 "139"
"23" "3" "1" 27 1177 "139"
"23" "3" "1" 34 1354 "139"
"23" "3" "1" 3 51 "179"
"23" "3" "1" 10 158 "179"
"23" "3" "1" 20 481 "179"
"23" "3" "1" 27 886 "179"
"23" "3" "1" 34 1438 "179"
"23" "4" "1" 3 34 "27"
"23" "4" "1" 10 110 "27"
"23" "4" "1" 20 440 "27"
"23" "4" "1" 27 844 "27"
"23" "4" "1" 34 1343 "27"
"23" "4" "1" 3 54 "67"
"23" "4" "1" 10 174 "67"
"23" "4" "1" 20 675 "67"
"23" "4" "1" 27 1192 "67"
"23" "4" "1" 34 1818 "67"
"23" "4" "1" 3 55 "107"
"23" "4" "1" 10 185 "107"
"23" "4" "1" 20 600 "107"
"23" "4" "1" 27 1061 "107"
"23" "4" "1" 34 1634 "107"
"23" "4" "1" 3 54 "147"
"23" "4" "1" 10 155 "147"
"23" "4" "1" 20 578 "147"
"23" "4" "1" 27 1095 "147"
"23" "4" "1" 34 1729 "147"
"23" "4" "1" 3 49 "187"
"23" "4" "1" 10 174 "187"
"23" "4" "1" 20 659 "187"
"23" "4" "1" 27 1192 "187"
"23" "4" "1" 34 1835 "187"
"23" "4" "1" 3 52 "227"
"23" "4" "1" 10 138 "227"
"23" "4" "1" 20 471 "227"
"23" "4" "1" 27 862 "227"
"23" "4" "1" 34 1437 "227"
"23" "5" "1" 3 53 "35"
"23" "5" "1" 10 133 "35"
"23" "5" "1" 20 421 "35"
"23" "5" "1" 27 851 "35"
"23" "5" "1" 34 1437 "35"
"23" "5" "1" 3 48 "75"
"23" "5" "1" 10 180 "75"
"23" "5" "1" 20 650 "75"
"23" "5" "1" 27 1124 "75"
"23" "5" "1" 34 1635 "75"
"23" "5" "1" 3 47 "115"
"23" "5" "1" 10 169 "115"
"23" "5" "1" 20 618 "115"
"23" "5" "1" 27 1091 "115"
"23" "5" "1" 34 1651 "115"
"23" "5" "1" 3 56 "155"
"23" "5" "1" 10 137 "155"
"23" "5" "1" 20 520 "155"
"23" "5" "1" 27 986 "155"
"23" "5" "1" 34 1595 "155"
"23" "5" "1" 3 48 "195"
"23" "5" "1" 10 166 "195"
"23" "5" "1" 20 624 "195"
"23" "5" "1" 27 1160 "195"
"23" "5" "1" 34 1827 "195"
"23" "5" "1" 3 46 "235"
"23" "5" "1" 10 118 "235"
"23" "5" "1" 20 441 "235"
"23" "5" "1" 27 875 "235"
"23" "5" "1" 34 1520 "235"
"34" "1" "2" 3 52 "6"
"34" "1" "2" 10 139 "6"
"34" "1" "2" 20 454 "6"
"34" "1" "2" 27 824 "6"
"34" "1" "2" 34 1306 "6"
"34" "1" "2" 3 51 "46"
"34" "1" "2" 10 139 "46"
"34" "1" "2" 20 467 "46"
"34" "1" "2" 27 822 "46"
"34" "1" "2" 34 1309 "46"
"34" "2" "2" 3 51 "14"
"34" "2" "2" 10 178 "14"
"34" "2" "2" 20 562 "14"
"34" "2" "2" 27 989 "14"
"34" "2" "2" 34 1466 "14"
"34" "2" "2" 3 44 "54"
"34" "2" "2" 10 122 "54"
"34" "2" "2" 20 423 "54"
"34" "2" "2" 27 785 "54"
"34" "2" "2" 34 1260 "54"
"34" "2" "2" 3 52 "94"
"34" "2" "2" 10 141 "94"
"34" "2" "2" 20 473 "94"
"34" "2" "2" 27 848 "94"
"34" "2" "2" 34 1371 "94"
"34" "3" "2" 3 54 "22"
"34" "3" "2" 10 168 "22"
"34" "3" "2" 20 555 "22"
"34" "3" "2" 27 979 "22"
"34" "3" "2" 34 1518 "22"
"34" "3" "2" 3 51 "62"
"34" "3" "2" 10 169 "62"
"34" "3" "2" 20 549 "62"
"34" "3" "2" 27 940 "62"
"34" "3" "2" 34 1475 "62"
"34" "3" "2" 3 49 "102"
"34" "3" "2" 10 154 "102"
"34" "3" "2" 20 495 "102"
"34" "3" "2" 27 894 "102"
"34" "3" "2" 34 1382 "102"
"34" "4" "2" 3 59 "30"
"34" "4" "2" 10 166 "30"
"34" "4" "2" 20 518 "30"
"34" "4" "2" 27 886 "30"
"34" "4" "2" 34 1357 "30"
"34" "4" "2" 3 52 "70"
"34" "4" "2" 10 137 "70"
"34" "4" "2" 20 474 "70"
"34" "4" "2" 27 874 "70"
"34" "4" "2" 34 1409 "70"
"34" "4" "2" 3 50 "110"
"34" "4" "2" 10 144 "110"
"34" "4" "2" 20 473 "110"
"34" "4" "2" 27 842 "110"
"34" "4" "2" 34 1354 "110"
"34" "1" "1" 3 50 "5"
"34" "1" "1" 10 162 "5"
"34" "1" "1" 20 625 "5"
"34" "1" "1" 27 1068 "5"
"34" "1" "1" 34 1719 "5"
"34" "1" "1" 3 58 "45"
"34" "1" "1" 10 220 "45"
"34" "1" "1" 20 700 "45"
"34" "1" "1" 27 1234 "45"
"34" "1" "1" 34 1894 "45"
"34" "1" "1" 3 51 "85"
"34" "1" "1" 10 167 "85"
"34" "1" "1" 20 666 "85"
"34" "1" "1" 27 1227 "85"
"34" "1" "1" 34 1894 "85"
"34" "1" "1" 3 57 "125"
"34" "1" "1" 10 176 "125"
"34" "1" "1" 20 692 "125"
"34" "1" "1" 27 1254 "125"
"34" "1" "1" 34 1882 "125"
"34" "2" "1" 3 51 "13"
"34" "2" "1" 10 155 "13"
"34" "2" "1" 20 599 "13"
"34" "2" "1" 27 1082 "13"
"34" "2" "1" 34 1593 "13"
"34" "2" "1" 3 51 "53"
"34" "2" "1" 10 165 "53"
"34" "2" "1" 20 626 "53"
"34" "2" "1" 27 1106 "53"
"34" "2" "1" 34 1684 "53"
"34" "3" "1" 3 51 "61"
"34" "3" "1" 10 174 "61"
"34" "3" "1" 20 594 "61"
"34" "3" "1" 27 1050 "61"
"34" "3" "1" 34 1670 "61"
"34" "3" "1" 3 57 "101"
"34" "3" "1" 10 185 "101"
"34" "3" "1" 20 687 "101"
"34" "3" "1" 27 1266 "101"
"34" "3" "1" 34 2011 "101"
"34" "3" "1" 3 47 "141"
"34" "3" "1" 10 166 "141"
"34" "3" "1" 20 640 "141"
"34" "3" "1" 27 1199 "141"
"34" "3" "1" 34 1970 "141"
"34" "4" "1" 3 31 "29"
"34" "4" "1" 10 185 "29"
"34" "4" "1" 20 650 "29"
"34" "4" "1" 27 1145 "29"
"34" "4" "1" 34 1092 "29"
"34" "4" "1" 3 56 "69"
"34" "4" "1" 10 192 "69"
"34" "4" "1" 20 675 "69"
"34" "4" "1" 27 1198 "69"
"34" "4" "1" 34 1871 "69"
"34" "4" "1" 3 57 "109"
"34" "4" "1" 10 195 "109"
"34" "4" "1" 20 699 "109"
"34" "4" "1" 27 1227 "109"
"34" "4" "1" 34 1858 "109"
"34" "4" "1" 3 57 "149"
"34" "4" "1" 10 181 "149"
"34" "4" "1" 20 671 "149"
"34" "4" "1" 27 1251 "149"
"34" "4" "1" 34 2020 "149"
"34" "4" "1" 3 53 "189"
"34" "4" "1" 10 176 "189"
"34" "4" "1" 20 645 "189"
"34" "4" "1" 27 1172 "189"
"34" "4" "1" 34 1879 "189"
"34" "5" "1" 3 48 "37"
"34" "5" "1" 10 169 "37"
"34" "5" "1" 20 629 "37"
"34" "5" "1" 27 1139 "37"
"34" "5" "1" 34 1803 "37"
"34" "5" "1" 3 53 "77"
"34" "5" "1" 10 177 "77"
"34" "5" "1" 20 594 "77"
"34" "5" "1" 27 1055 "77"
"34" "5" "1" 34 1709 "77"
"34" "5" "1" 3 53 "117"
"34" "5" "1" 10 151 "117"
"34" "5" "1" 20 578 "117"
"34" "5" "1" 27 1060 "117"
"34" "5" "1" 34 1675 "117"
"34" "5" "1" 3 49 "157"
"34" "5" "1" 10 175 "157"
"34" "5" "1" 20 701 "157"
"34" "5" "1" 27 1306 "157"
"34" "5" "1" 34 2043 "157"
"34" "5" "1" 3 59 "197"
"34" "5" "1" 10 185 "197"
"34" "5" "1" 20 661 "197"
"34" "5" "1" 27 1240 "197"
"34" "5" "1" 34 1897 "197"
"36" "3" "1" 3 47 "23"
"36" "3" "1" 10 167 "23"
"36" "3" "1" 20 636 "23"
"36" "3" "1" 27 1197 "23"
"36" "3" "1" 34 1939 "23"
"36" "3" "1" 3 44 "63"
"36" "3" "1" 10 166 "63"
"36" "3" "1" 20 654 "63"
"36" "3" "1" 27 1228 "63"
"36" "3" "1" 34 1815 "63"
"36" "3" "1" 3 48 "103"
"36" "3" "1" 10 148 "103"
"36" "3" "1" 20 549 "103"
"36" "3" "1" 27 1063 "103"
"36" "3" "1" 34 1734 "103"
"36" "3" "1" 3 45 "143"
"36" "3" "1" 10 167 "143"
"36" "3" "1" 20 638 "143"
"36" "3" "1" 27 1125 "143"
"36" "3" "1" 34 1739 "143"
"36" "4" "1" 3 45 "31"
"36" "4" "1" 10 165 "31"
"36" "4" "1" 20 619 "31"
"36" "4" "1" 27 1197 "31"
"36" "4" "1" 34 1843 "31"
"36" "4" "1" 3 56 "71"
"36" "4" "1" 10 209 "71"
"36" "4" "1" 20 758 "71"
"36" "4" "1" 27 1342 "71"
"36" "4" "1" 34 1942 "71"
"36" "4" "1" 3 41 "111"
"36" "4" "1" 10 146 "111"
"36" "4" "1" 20 577 "111"
"36" "4" "1" 27 1096 "111"
"36" "4" "1" 34 1560 "111"
"36" "4" "1" 3 55 "151"
"36" "4" "1" 10 160 "151"
"36" "4" "1" 20 632 "151"
"36" "4" "1" 27 1165 "151"
"36" "4" "1" 34 1865 "151"
"36" "1" "1" 3 55 "7"
"36" "1" "1" 10 190 "7"
"36" "1" "1" 20 660 "7"
"36" "1" "1" 27 1259 "7"
"36" "1" "1" 34 2054 "7"
"36" "1" "1" 3 48 "47"
"36" "1" "1" 10 168 "47"
"36" "1" "1" 20 580 "47"
"36" "1" "1" 27 1222 "47"
"36" "1" "1" 34 2011 "47"
"36" "1" "1" 3 46 "87"
"36" "1" "1" 10 160 "87"
"36" "1" "1" 20 612 "87"
"36" "1" "1" 27 1073 "87"
"36" "1" "1" 34 1737 "87"
"36" "1" "1" 3 46 "127"
"36" "1" "1" 10 169 "127"
"36" "1" "1" 20 530 "127"
"36" "1" "1" 27 1040 "127"
"36" "1" "1" 34 1412 "127"
"36" "1" "1" 3 42 "167"
"36" "1" "1" 10 142 "167"
"36" "1" "1" 20 576 "167"
"36" "1" "1" 27 1013 "167"
"36" "1" "1" 34 1703 "167"
"36" "1" "1" 3 46 "207"
"36" "1" "1" 10 131 "207"
"36" "1" "1" 20 405 "207"
"36" "1" "1" 27 1051 "207"
"36" "1" "1" 34 1524 "207"
"36" "2" "1" 3 53 "15"
"36" "2" "1" 10 172 "15"
"36" "2" "1" 20 666 "15"
"36" "2" "1" 27 1229 "15"
"36" "2" "1" 34 1896 "15"
"36" "2" "1" 3 52 "55"
"36" "2" "1" 10 200 "55"
"36" "2" "1" 20 724 "55"
"36" "2" "1" 27 1336 "55"
"36" "2" "1" 34 2061 "55"
"36" "2" "1" 3 51 "95"
"36" "2" "1" 10 191 "95"
"36" "2" "1" 20 675 "95"
"36" "2" "1" 27 1292 "95"
"36" "2" "1" 34 2001 "95"
"36" "5" "1" 3 58 "39"
"36" "5" "1" 10 183 "39"
"36" "5" "1" 20 685 "39"
"36" "5" "1" 27 1253 "39"
"36" "5" "1" 34 1944 "39"
"36" "5" "1" 3 45 "79"
"36" "5" "1" 10 132 "79"
"36" "5" "1" 20 509 "79"
"36" "5" "1" 27 973 "79"
"36" "5" "1" 34 1507 "79"
"36" "5" "1" 3 49 "119"
"36" "5" "1" 10 143 "119"
"36" "5" "1" 20 545 "119"
"36" "5" "1" 27 1004 "119"
"36" "5" "1" 34 1671 "119"
"36" "5" "1" 3 52 "159"
"36" "5" "1" 10 145 "159"
"36" "5" "1" 20 488 "159"
"36" "5" "1" 27 839 "159"
"36" "5" "1" 34 1315 "159"
"36" "5" "1" 3 49 "199"
"36" "5" "1" 10 132 "199"
"36" "5" "1" 20 581 "199"
"36" "5" "1" 27 1116 "199"
"36" "5" "1" 34 1807 "199"
"36" "1" "2" 3 45 "8"
"36" "1" "2" 10 137 "8"
"36" "1" "2" 20 467 "8"
"36" "1" "2" 27 894 "8"
"36" "1" "2" 34 1421 "8"
"36" "1" "2" 3 39 "48"
"36" "1" "2" 10 111 "48"
"36" "1" "2" 20 414 "48"
"36" "1" "2" 27 771 "48"
"36" "1" "2" 34 1238 "48"
"36" "1" "2" 3 51 "88"
"36" "1" "2" 10 152 "88"
"36" "1" "2" 20 519 "88"
"36" "1" "2" 27 955 "88"
"36" "1" "2" 34 1472 "88"
"36" "1" "2" 3 33 "128"
"36" "1" "2" 10 139 "128"
"36" "1" "2" 20 489 "128"
"36" "1" "2" 27 894 "128"
"36" "1" "2" 34 1442 "128"
"36" "1" "2" 3 49 "168"
"36" "1" "2" 10 122 "168"
"36" "1" "2" 20 435 "168"
"36" "1" "2" 27 809 "168"
"36" "1" "2" 34 1322 "168"
"36" "2" "2" 3 42 "16"
"36" "2" "2" 10 137 "16"
"36" "2" "2" 20 464 "16"
"36" "2" "2" 27 831 "16"
"36" "2" "2" 34 1325 "16"
"36" "2" "2" 3 39 "56"
